직원id,입사일,퇴사일,근속연수(연),근속연수(월),근속연수(일)
537,2012-01-03,2016-11-30,4,58,1793
538,2012-01-16,2012-06-05,0,4,141
539,2012-01-16,2014-01-15,1,23,730
540,2012-01-16,//,7,90,2753
541,2012-01-30,2016-11-30,4,58,1766
542,2012-01-30,2015-11-30,3,46,1400
543,2012-01-30,//,7,90,2739
544,2012-01-30,//,7,90,2739
545,2012-01-30,2017-02-28,5,60,1856
546,2012-02-01,2016-07-31,4,53,1642
547,2012-02-01,2012-11-15,0,9,288
548,2012-02-09,2016-12-08,4,57,1764
549,2012-02-13,2012-06-05,0,3,113
550,2012-02-15,2012-10-05,0,7,233
551,2012-02-20,2013-05-03,1,14,438
552,2012-02-27,2019-01-18,6,82,2517
553,2012-02-27,2013-05-20,1,14,448
554,2012-02-27,2014-08-14,2,29,899
555,2012-02-27,2014-01-31,1,23,704
556,2012-02-23,2013-02-20,0,11,363
557,2012-02-23,2014-04-11,2,25,778
558,2012-03-05,2013-04-30,1,13,421
559,2012-03-05,2012-06-30,0,3,117
560,2012-03-12,2012-06-30,0,3,110
561,2012-03-19,2015-06-12,3,38,1180
562,2012-03-26,//,7,88,2683
563,2012-03-27,2013-03-26,0,11,364
564,2012-04-02,2015-06-14,3,38,1168
565,2012-04-02,2014-04-04,2,24,732
566,2012-04-02,2015-10-20,3,42,1296
567,2012-04-02,2016-04-30,4,48,1489
568,2012-04-02,//,7,87,2676
569,2012-04-02,2016-04-30,4,48,1489
570,2012-04-04,2016-04-30,4,48,1487
571,2012-04-04,//,7,87,2674
572,2012-04-09,//,7,87,2669
573,2012-04-09,2013-05-20,1,13,406
574,2012-04-09,2014-10-31,2,30,935
575,2012-04-09,2012-07-31,0,3,113
576,2012-04-09,2013-04-14,1,12,370
577,2012-04-09,//,7,87,2669
578,2012-04-09,2016-04-30,4,48,1482
579,2012-04-09,//,7,87,2669
580,2012-04-09,2017-05-07,5,60,1854
581,2012-04-09,2015-11-30,3,43,1330
582,2012-04-09,2016-06-27,4,50,1540
583,2012-04-09,//,7,87,2669
584,2012-04-09,2014-09-30,2,29,904
585,2012-04-09,2018-08-10,6,76,2314
586,2012-04-09,//,7,87,2669
587,2012-04-09,2013-09-10,1,17,519
588,2012-04-09,2014-01-10,1,21,641
589,2012-04-09,2014-04-23,2,24,744
590,2012-04-09,2015-12-31,3,44,1361
591,2012-04-16,//,7,87,2662
592,2012-04-16,2014-12-31,2,32,989
593,2012-04-16,2016-04-30,4,48,1475
594,2012-04-16,//,7,87,2662
595,2012-04-16,//,7,87,2662
596,2012-04-16,//,7,87,2662
597,2012-04-16,2017-03-07,4,58,1786
598,2012-04-16,//,7,87,2662
599,2012-04-16,//,7,87,2662
600,2012-04-17,2012-06-08,0,1,52
601,2012-04-23,2014-03-21,1,22,697
602,2012-04-23,2015-11-30,3,43,1316
603,2012-04-23,//,7,87,2655
604,2012-04-23,2014-12-12,2,31,963
605,2012-04-25,2016-04-30,4,48,1466
606,2012-04-25,//,7,87,2653
607,2012-04-25,//,7,87,2653
608,2012-04-25,//,7,87,2653
609,2012-04-25,//,7,87,2653
610,2012-04-25,2012-04-26,0,0,1
611,2012-04-25,//,7,87,2653
612,2012-04-25,//,7,87,2653
613,2012-04-25,2014-09-15,2,28,873
614,2012-04-25,//,7,87,2653
615,2012-05-02,2018-07-31,6,74,2281
616,2012-05-02,//,7,86,2646
617,2012-05-07,2014-02-28,1,21,662
618,2012-05-07,2018-05-31,6,72,2215
619,2012-05-09,//,7,86,2639
620,2012-05-09,//,7,86,2639
621,2012-05-09,2014-08-31,2,27,844
622,2012-05-21,2012-12-31,0,7,224
623,2012-05-22,//,7,86,2626
624,2012-05-29,2016-07-31,4,50,1524
625,2012-05-29,2014-07-25,2,25,787
626,2012-05-29,2015-10-12,3,40,1231
627,2012-05-29,2015-05-31,3,36,1097
628,2012-05-29,2015-05-31,3,36,1097
629,2012-05-29,2015-05-31,3,36,1097
630,2012-06-04,2016-04-30,3,46,1426
631,2012-06-07,2014-02-10,1,20,613
632,2012-06-11,//,7,85,2606
633,2012-06-15,2013-07-09,1,12,389
634,2012-06-15,2013-07-09,1,12,389
635,2012-06-15,2012-10-22,0,4,129
636,2012-06-15,2013-07-09,1,12,389
