id,position,position_number
1073,사원(계약직),
1074,대리,4
1075,대리,4
1076,차장,2
1077,차장,2
1078,사원(시급),6
1079,사원(계약직),
1080,사원,6
1081,차장,2
1082,상무,
1083,부장,1
1084,과장,3
1085,반장,3
1086,사원,6
1087,대리,4
1088,사원,6
1089,이사,
1090,사원,6
1091,사원,6
1092,사원(계약직),
1093,사원(계약직),
1094,사원(계약직),
1095,사원(계약직),
1096,사원(계약직),
1097,전문위원,
1098,과장,3
1099,대리,4
1100,사원(계약직),
1101,사원(계약직),
1102,사원(계약직),
